Wavelength,Excitation,Emission
300,21.21942672,0
301,19.58125939,0
302,17.77040587,0
303,16.00672271,0
304,14.48845121,0
305,13.29535188,0
306,12.08854564,0
307,11.01915582,0
308,10.14886109,0
309,9.546321425,0
310,8.946770001,0
311,8.425517745,0
312,7.97956004,0
313,7.526450277,0
314,7.231562043,0
315,7.064983982,0
316,6.799813437,0
317,6.676778633,0
318,6.434658952,0
319,6.246700017,0
320,6.101841863,0
321,5.949834599,0
322,5.944740719,0
323,5.723982606,0
324,5.776818153,0
325,5.840034675,0
326,5.697018856,0
327,5.741721732,0
328,5.651681408,0
329,5.688421639,0
330,5.636700859,0
331,5.62341263,0
332,5.592043945,0
333,5.662589259,0
334,5.720444797,0
335,5.739175074,0
336,5.844832499,0
337,5.709974319,0
338,5.723733294,0
339,5.786763182,0
340,5.889029658,0
341,5.976427115,0
342,5.962732529,0
343,5.910836602,0
344,6.13265209,0
345,6.11223147,0
346,6.097164831,0
347,6.167032961,0
348,6.41586565,0
349,6.491280386,0
350,6.536512733,0
351,6.666453983,0
352,6.772445716,0
353,6.977616843,0
354,7.068624898,0
355,7.221699075,0
356,7.368923739,0
357,7.462895136,0
358,7.626896852,0
359,7.830161638,0
360,7.995534786,0
361,8.196344337,0
362,8.464526467,0
363,8.513262212,0
364,8.876640237,0
365,9.151964068,0
366,9.467874278,0
367,9.83579325,0
368,10.22175871,0
369,10.72640965,0
370,10.98653979,0
371,11.48936811,0
372,11.99757962,0
373,12.49606263,0
374,13.1527695,0
375,13.71989985,0
376,14.30951538,0
377,14.95182787,0
378,15.70418289,0
379,16.47259751,0
380,17.23971195,0
381,17.77190389,0
382,18.67964978,0
383,19.54369029,0
384,20.5458335,0
385,21.54865813,0
386,22.44416641,0
387,23.5006016,0
388,24.79865056,0
389,25.68214461,0
390,27.39103511,0
391,28.78527935,0
392,30.65694634,0
393,32.30045643,0
394,33.96301816,0
395,35.76459766,0
396,37.53691366,0
397,39.42199788,0
398,41.39511582,0
399,43.33082287,0
400,45.38296146,0
401,46.99286175,0
402,49.1222074,0
403,51.09544864,0
404,53.03929723,0
405,55.00558563,0
406,56.77892174,0
407,58.82059047,0
408,60.22134455,0
409,62.05601921,0
410,63.5133006,0
411,65.27276171,0
412,66.52873858,0
413,68.31160512,0
414,70.03245713,0
415,71.456082,0
416,73.1159,0
417,74.71254783,0
418,76.98144406,0
419,78.92019429,0
420,80.94207619,0
421,83.04419831,0
422,85.11489714,0
423,87.3308536,0
424,89.1904906,0
425,90.89432427,0
426,92.96788914,0
427,94.43578506,0
428,95.87485322,0
429,97.30820583,0
430,98.26411414,0
431,98.88740655,0
432,99.63185105,0
433,100,0
434,99.98552265,0
435,99.59500838,0
436,99.15089347,0
437,99.36152829,0
438,98.89837736,0
439,98.11807167,0
440,97.27718127,1.272114548
441,96.83876242,1.269147067
442,96.52289512,1.38573504
443,96.03384455,1.574089511
444,95.84452761,1.805907782
445,95.45465797,2.072446458
446,95.37351022,2.406219018
447,95.80181688,2.894920496
448,96.21650534,3.654069005
449,96.35469094,4.466552587
450,96.90017253,5.453747503
451,97.47504653,6.651556517
452,97.88333944,8.056494957
453,98.21163626,9.718420954
454,97.73569415,11.71700203
455,96.99527222,13.96194426
456,96.13163645,16.80433084
457,94.74526295,19.98782495
458,93.30136633,24.03877192
459,90.67669036,28.63157676
460,87.43257189,33.42974864
461,84.02856235,38.51323705
462,80.34228737,44.01195626
463,75.50147143,49.87703724
464,70.30249033,55.82040529
465,64.92918794,62.00170373
466,59.91422682,68.32168236
467,54.59362586,74.00197316
468,49.65153627,79.51068329
469,44.50898783,84.29756464
470,39.69430504,88.50108243
471,34.6031418,92.2000393
472,30.43700893,95.14283623
473,26.78103692,97.46817953
474,22.85345408,99.1446089
475,19.70900928,100
476,16.95554157,99.92202261
477,14.27813666,99.50192961
478,12.10648689,98.73897587
479,10.34664547,98.00502069
480,8.879947834,97.01795439
481,7.632841376,95.41416915
482,6.683586956,94.01989704
483,5.781095795,92.86589711
484,5.05048316,91.52820495
485,4.319863417,90.23905311
486,3.674981723,89.17061706
487,3.205714082,88.20183298
488,2.857596283,87.67754854
489,2.521883976,87.05098235
490,2.35483372,86.687342
491,0,86.44371931
492,0,86.59148559
493,0,87.67090427
494,0,88.80118513
495,0,90.06426893
496,0,91.06196167
497,0,91.94676569
498,0,93.25093657
499,0,94.50199455
500,0,95.19038515
501,0,95.41185762
502,0,95.71364177
503,0,95.9524403
504,0,95.79439094
505,0,95.98154912
506,0,95.21632628
507,0,94.37684986
508,0,93.28113816
509,0,91.95708606
510,0,90.65009167
511,0,89.39896026
512,0,87.58952641
513,0,85.41607671
514,0,83.92266806
515,0,81.94646776
516,0,80.25712062
517,0,78.54514581
518,0,76.95851991
519,0,75.55859366
520,0,74.20972968
521,0,72.63312007
522,0,70.51794724
523,0,68.89701851
524,0,67.89268029
525,0,66.27292356
526,0,65.53787777
527,0,64.55731064
528,0,62.88676354
529,0,61.74686106
530,0,60.43396578
531,0,59.04267433
532,0,58.20194791
533,0,57.14087591
534,0,56.82812422
535,0,55.68001467
536,0,54.86032404
537,0,53.75305365
538,0,52.93540496
539,0,52.16486463
540,0,51.08393427
541,0,50.00821745
542,0,49.10847781
543,0,48.20547524
544,0,47.27905022
545,0,46.10990443
546,0,44.25969291
547,0,43.03601784
548,0,41.66442364
549,0,40.41548132
550,0,39.21976013
551,0,38.00325859
552,0,37.09397996
553,0,35.5939239
554,0,34.62469078
555,0,33.69273525
556,0,32.57434657
557,0,31.63563258
558,0,30.58470093
559,0,29.65854051
560,0,28.63839869
561,0,27.83763811
562,0,26.7816054
563,0,26.20798924
564,0,25.49718102
565,0,24.72093828
566,0,24.02485757
567,0,23.27152324
568,0,22.74152747
569,0,21.90537274
570,0,21.23255596
571,0,20.72431165
572,0,20.34684235
573,0,19.7705518
574,0,19.21276921
575,0,18.53616166
576,0,18.08540218
577,0,17.58639906
578,0,17.2986416
579,0,16.80969678
580,0,16.43189115
581,0,16.24217854
582,0,15.65871053
583,0,15.26270317
584,0,14.82287981
585,0,14.39270089
586,0,14.16307231
587,0,13.74048507
588,0,13.17615131
589,0,13.01929247
590,0,12.51148866
591,0,12.19824587
592,0,11.90153064
593,0,11.53815004
594,0,11.03276092
595,0,10.89029101
596,0,10.56412923
597,0,10.5093783
598,0,9.990063696
599,0,9.706695844
600,0,9.272617572
601,0,8.954184205
602,0,8.520324467
603,0,8.41093003
604,0,8.220424118
605,0,7.791805641
606,0,7.525485056
607,0,7.460630089
608,0,7.170259148
609,0,6.877863942
610,0,6.714177557
611,0,6.539987935
612,0,6.349843972
613,0,6.23338868
614,0,6.118917078
615,0,5.943638087
616,0,5.741935943
617,0,5.677891148
618,0,5.593774773
619,0,5.40316158
620,0,5.288169118
621,0,5.210844862
622,0,5.014618353
623,0,4.938289477
624,0,4.830782397
625,0,4.667610638
626,0,4.652854329
627,0,4.548177299
628,0,4.271978891
629,0,4.353180333
630,0,4.192867518
631,0,4.092748244
632,0,3.91438872
633,0,3.97278159
634,0,3.755475253
635,0,3.669106697
636,0,3.427474011
637,0,3.499225258
638,0,3.534693715
639,0,3.606357037
640,0,3.411214007
641,0,3.315881807
642,0,3.29147369
643,0,3.139812099
644,0,3.031268922
645,0,3.02766566
646,0,3.014409297
647,0,3.014004393
648,0,2.777653707
649,0,2.741947535
650,0,2.750114448
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,0
664,0,0
665,0,0
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
