Wavelength,Excitation,Emission
300,25.06955178,0
301,25.36983882,0
302,25.73636564,0
303,26.17354824,0
304,26.72996246,0
305,27.41002429,0
306,28.17840583,0
307,29.03952307,0
308,30.10333407,0
309,31.22102009,0
310,32.52329433,0
311,34.07816295,0
312,35.75182159,0
313,37.58445573,0
314,39.62905719,0
315,41.76197836,0
316,43.90328991,0
317,46.1249724,0
318,48.57142857,0
319,50.91190108,0
320,53.33186134,0
321,55.65025392,0
322,58.02605432,0
323,60.3444469,0
324,62.69816737,0
325,64.97681607,0
326,67.13623316,0
327,69.27798631,0
328,71.33141974,0
329,73.79553985,0
330,75.58843012,0
331,77.27533672,0
332,79.04173107,0
333,80.68447781,0
334,82.00927357,0
335,83.50629278,0
336,84.61470523,0
337,85.92625304,0
338,87.01700155,0
339,88.23139766,0
340,89.13225878,0
341,90.0640318,0
342,91.17686023,0
343,91.9673217,0
344,92.85493486,0
345,93.71605211,0
346,94.47560168,0
347,95.10708766,0
348,95.85780526,0
349,96.48929123,0
350,97.0942813,0
351,97.54029587,0
352,97.98631044,0
353,98.48531685,0
354,98.7811879,0
355,99.17862663,0
356,99.48774564,0
357,99.74828881,0
358,99.92934423,0
359,100,0
360,99.82336057,0
361,99.56723338,0
362,99.27577832,0
363,98.74144403,0
364,98.02163833,0
365,97.16935306,0
366,96.14926032,0
367,94.85537646,0
368,93.72046809,0
369,92.13512917,0
370,90.73084566,0
371,89.12784279,0
372,87.35261647,0
373,85.45374255,0
374,83.77125193,0
375,81.75756238,0.3099814
376,79.82336057,0.3761108
377,77.6551115,0.4387959
378,75.55751822,0.4436179
379,73.23029366,0.4436179
380,71.1547803,0.4753048
381,68.71274012,0.6085968
382,66.16030029,0.6726596
383,63.55928461,0.7604877
384,60.54316626,0.8872357
385,57.01479355,1.077358
386,53.98984323,1.26748
387,50.95164495,1.489288
388,47.77655112,1.711097
389,44.65003312,2.154715
390,41.5009936,2.534959
391,38.39258114,3.010264
392,35.22190329,3.612317
393,32.2499448,4.214369
394,29.33097814,5.196666
395,26.51799514,5.955087
396,23.9699713,6.989391
397,21.55442703,8.211752
398,19.26253036,9.330441
399,17.1251932,10.29138
400,15.23515125,11.81029
401,13.42901303,13.05848
402,11.88341797,14.49921
403,10.35990285,16.12385
404,9.043939059,18.02439
405,7.904614705,19.83295
406,6.888937955,21.67218
407,5.935085008,23.9712
408,5.065135792,25.7629
409,4.44689777,27.85424
410,3.850739678,29.88496
