Wavelength,Excitation,Emission
300,12.507,0
301,10.757,0
302,9.05,0
303,8.004,0
304,7.278,0
305,6.429,0
306,6.078,0
307,5.717,0
308,5.797,0
309,5.797,0
310,5.733,0
311,6.062,0
312,6.109,0
313,6.15,0
314,6.315,0
315,6.588,0
316,6.774,0
317,6.935,0
318,7.388,0
319,7.435,0
320,7.715,0
321,7.802,0
322,8.164,0
323,8.115,0
324,8.656,0
325,8.635,0
326,9.235,0
327,9.322,0
328,9.599,0
329,9.93,0
330,10.206,0
331,10.965,0
332,11.178,0
333,11.487,0
334,11.894,0
335,11.931,0
336,11.622,0
337,11.704,0
338,11.288,0
339,10.809,0
340,10.129,0
341,9.689,0
342,9.092,0
343,8.599,0
344,7.919,0
345,7.394,0
346,6.898,0
347,6.526,0
348,6.356,0
349,6.092,0
350,5.583,0
351,5.385,0
352,5.191,0
353,4.994,0
354,4.829,0
355,4.571,0
356,4.543,0
357,4.327,0
358,4.284,0
359,4.058,0
360,3.964,0
361,3.833,0
362,3.513,0
363,3.475,0
364,3.108,0
365,3.045,0
366,2.825,0
367,2.718,0
368,2.52,0
369,2.171,0
370,2.189,0
371,1.92,0
372,1.879,0
373,1.876,0
374,1.795,0
375,1.678,0
376,1.786,0
377,1.538,0
378,1.637,0
379,1.585,0
380,1.514,0
381,1.52,0
382,1.451,0
383,1.356,0
384,1.258,0
385,1.263,0
386,1.163,0
387,1.085,0
388,1.102,0
389,0.977,0
390,1.027,0
391,0.92,0
392,0.946,0
393,0.859,0
394,0.914,0
395,0.925,0
396,0.967,0
397,0.939,0
398,1.033,0
399,1.053,0
400,1.08,0
401,1.019,0
402,1.078,0
403,1.181,0
404,1.232,0
405,1.26,0
406,1.329,0
407,1.433,0
408,1.518,0
409,1.489,0
410,1.692,0
411,1.671,0
412,1.8,0
413,1.801,0
414,1.919,0
415,2.075,0
416,2.158,0
417,2.233,0
418,2.334,0
419,2.507,0
420,2.618,0
421,2.747,0
422,2.852,0
423,2.973,0
424,3.116,0
425,3.231,0
426,3.438,0
427,3.61,0
428,3.74,0
429,3.964,0
430,4.107,0
431,4.287,0
432,4.531,0
433,4.668,0
434,4.889,0
435,5.127,0
436,5.348,0
437,5.592,0
438,5.865,0
439,6.169,0
440,6.384,0
441,6.749,0
442,7.066,0
443,7.41,0
444,7.698,0
