Wavelength,Excitation,Emission
300,53.64077,0
301,50.56611,0
302,47.83239,0
303,45.06755,0
304,43.00967,0
305,40.99052,0
306,39.41028,0
307,38.38514,0
308,37.12459,0
309,36.07743,0
310,36.44192,0
311,35.69774,0
312,35.37122,0
313,35.61421,0
314,34.9604,0
315,34.67944,0
316,33.96639,0
317,33.86691,0
318,32.9944,0
319,32.25023,0
320,30.9669,0
321,30.07768,0
322,29.16721,0
323,27.1845,0
324,25.71969,0
325,24.71657,0
326,23.13785,0
327,21.19311,0
328,20.41932,0
329,18.94539,0
330,18.26197,0
331,17.37351,0
332,16.46986,0
333,15.64975,0
334,15.20249,0
335,14.36718,0
336,14.02547,0
337,13.61465,0
338,13.21295,0
339,12.90161,0
340,13.15144,0
341,12.30855,0
342,12.22577,0
343,11.92127,0
344,11.5955,0
345,11.38288,0
346,11.22265,0
347,10.98042,0
348,10.91131,0
349,10.69869,0
350,10.5696,0
351,10.44051,0
352,10.60073,0
353,10.41849,0
354,10.38735,0
355,10.47164,0
356,10.31901,0
357,10.31217,0
358,10.31901,0
359,9.992482,0
360,9.833776,0
361,9.924899,0
362,9.787454,0
363,9.438906,0
364,9.651527,0
365,9.400937,0
366,9.460927,0
367,9.430552,0
368,9.256658,0
369,9.271845,0
370,9.316648,0
371,9.07441,0
372,8.876975,0
373,8.854195,0
374,8.512481,0
375,8.125204,0
376,8.223922,0
377,7.92777,0
378,7.563274,0
379,7.554921,0
380,7.153217,0
381,7.008178,0
382,6.955022,0
383,7.039312,0
384,6.727973,0
385,6.917054,0
386,6.719619,0
387,6.560153,0
388,6.537372,0
389,6.295135,0
390,6.271595,0
391,6.180471,0
392,5.975442,0
393,5.900265,0
394,5.680049,0
395,5.581332,0
396,5.6193,0
397,5.413512,0
398,5.246452,0
399,5.156087,0
400,5.171275,0
401,5.094579,0
402,5.156087,0
403,5.011049,0
404,5.011049,0
405,5.049017,0
406,5.269992,0
407,5.080151,0
408,5.125713,0
409,5.003455,0
410,5.026996,0
411,4.957893,0
412,5.056611,0
413,4.844748,0
414,4.912332,0
415,4.859176,0
416,4.97384,0
417,5.125713,0
418,5.231265,0
