Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,1.886973241,0
401,1.384121632,0
402,1.317531357,0
403,1.285419342,0
404,1.366945323,0
405,1.34383042,0
406,1.348880478,0
407,1.265204139,0
408,1.351992519,0
409,1.273378282,0
410,1.276848898,0
411,1.342564037,0
412,1.404270514,0
413,1.34055933,0
414,1.411647418,0
415,1.431963398,0
416,1.396062154,0
417,1.366681484,0
418,1.446457055,0
419,1.477037712,0
420,1.403048614,0
421,1.415636042,0
422,1.476560665,0
423,1.47632652,0
424,1.544499203,0
425,1.541681185,0
426,1.5366132,0
427,1.5690115,0
428,1.607439937,0
429,1.527783182,0
430,1.500487953,0
431,1.503217714,0
432,1.675225392,0
433,1.762534533,0
434,1.697297948,0
435,1.692381686,0
436,1.768364881,0
437,1.736828727,0
438,1.823456002,0
439,1.741053231,0
440,1.780800293,0
441,1.830919508,0
442,1.998514444,0
443,1.991977839,0
444,2.098497067,0
445,2.084086385,0
446,2.196277109,0
447,2.329343483,0
448,2.394755113,0
449,2.531859646,0
450,2.479583166,0
451,2.727899058,0
452,2.729364555,0
453,2.82210852,0
454,3.030358739,0
455,3.041475722,0
456,3.107984293,0
457,3.266876636,0
458,3.262578791,0
459,3.543641011,0
460,3.729206236,0
461,3.954551202,0
462,3.842603931,0
463,4.170901427,0
464,4.135960209,0
465,4.352759162,0
466,4.552392699,0
467,4.636430539,0
468,4.96580313,0
469,5.22869148,0
470,5.641000327,0
471,5.80374229,0
472,5.881175746,0
473,6.024476756,0
474,6.551007009,0
475,6.864588291,0
476,7.265542931,0
477,7.538304435,0
478,7.604940399,0
479,8.14561776,0
480,8.455856688,0
481,8.830250874,0
482,9.145025768,0
483,9.850908531,0
484,10.39865987,0
485,10.31509961,0
486,10.75159954,0
487,11.37855892,0
488,11.66406037,0
489,12.29330701,0
490,12.83032622,0
491,13.67649363,0
492,13.7326834,0
493,14.59559799,0
494,15.24235739,0
495,15.95717237,0
496,16.46723366,0
497,17.32037323,0
498,18.31648958,0
499,19.32730951,0
500,19.72475051,0
501,20.50486441,0
502,21.98131798,0
503,22.60567376,0
504,23.47866368,0
505,24.95705704,0
506,25.9807317,0
507,27.71114435,0
508,29.14501875,0
509,30.04122898,0
510,31.44511941,0
511,32.60151231,0
512,33.66977025,0
513,35.82083063,0
514,36.57405673,0
515,36.87355005,0
