Wavelength,Excitation,Emission
300,9.621,0
301,8.722,0
302,8.007,0
303,7.388,0
304,6.747,0
305,6.12,0
306,5.789,0
307,5.41,0
308,5.283,0
309,4.903,0
310,4.869,0
311,4.739,0
312,4.587,0
313,4.457,0
314,4.391,0
315,4.464,0
316,4.42,0
317,4.2,0
318,4.122,0
319,3.99,0
320,3.905,0
321,3.781,0
322,3.527,0
323,3.461,0
324,3.475,0
325,3.463,0
326,3.172,0
327,3.241,0
328,3.214,0
329,2.956,0
330,3.079,0
331,3.046,0
332,2.989,0
333,3.168,0
334,3.124,0
335,3.029,0
336,3.221,0
337,3.237,0
338,3.258,0
339,3.343,0
340,3.482,0
341,3.458,0
342,3.573,0
343,3.637,0
344,3.736,0
345,3.975,0
346,4.124,0
347,4.287,0
348,4.38,0
349,4.664,0
350,4.895,0
351,4.807,0
352,5.116,0
353,5.698,0
354,5.392,0
355,5.566,0
356,5.899,0
357,6.161,0
358,6.46,0
359,6.617,0
360,6.847,0
361,7.228,0
362,7.294,0
363,7.556,0
364,7.978,0
365,8.135,0
366,8.412,0
367,8.751,0
368,9.089,0
369,9.205,0
370,9.553,0
371,9.838,0
372,10.023,0
373,10.111,0
374,10.775,0
375,11.028,0
376,11.229,0
377,11.602,0
378,11.739,0
379,12.173,0
380,12.497,0
381,12.688,0
382,12.963,0
383,13.244,0
384,13.494,0
385,13.63,0
386,13.93,0
387,14.294,0
388,14.422,0
389,14.651,0
390,14.795,0
391,15.13,0
392,15.413,0
393,15.611,0
394,15.821,0
395,16.044,0
396,16.216,0
397,16.455,0
398,16.51,0
399,16.714,0
400,16.834,0
401,16.821,0
402,16.998,0
403,17.01,0
404,17.102,0
405,17.316,0
406,17.319,0
407,17.422,0
408,17.629,0
409,17.683,0
410,17.757,0
411,17.972,0
412,18.181,0
413,18.396,0
414,18.575,0
415,18.79,0
416,19.01,0
417,19.325,0
418,19.667,0
419,19.919,0
420,20.282,0
421,20.519,0
422,20.789,0
423,21.125,0
424,21.47,0
425,21.804,0
426,22.178,0
427,22.543,0
428,22.99,0
429,23.545,0
430,24.079,0
431,24.564,0
432,25.181,0
433,25.827,0
434,26.61,0
435,27.412,0
436,28.315,0
437,29.182,0
438,30.18,0
439,31.414,0
440,32.48,0
441,33.702,0
442,34.963,0
443,36.294,0
444,37.659,0
445,39.15,0
446,40.717,0
447,42.25,0
448,43.925,0
449,45.578,0
450,47.335,0
451,48.982,0
452,50.799,0
453,52.535,0
454,54.31,0
455,56.103,0
456,57.85,0
457,59.505,0
458,61.187,0
459,62.835,0
460,64.379,0
461,66.006,0
462,67.444,0
463,68.874,0
464,70.18,0
465,71.507,0.336
466,72.773,0.399
467,73.969,0.434
468,75.24,0.509
469,76.472,0.605
470,77.707,0.716
471,78.888,0.86
472,80.171,1.013
473,81.428,1.22
474,82.857,1.509
475,84.184,1.785
476,85.61,2.2
477,87.051,2.656
478,88.456,3.182
479,90.031,3.842
480,91.514,4.612
481,92.901,5.501
482,94.364,6.506
483,95.684,7.825
484,96.914,9.203
485,97.927,10.901
486,98.853,12.662
487,99.394,14.795
488,99.819,17.155
489,100,19.814
490,99.685,22.674
491,99.084,25.871
492,97.974,29.453
493,96.403,33.147
494,94.421,37.141
495,91.942,41.551
496,89.039,45.975
497,85.611,50.878
498,81.883,55.935
499,77.751,61.042
500,73.462,66.492
501,68.735,71.819
502,63.993,76.66
503,59.059,81.612
504,54.282,86.22
505,49.304,90.27
506,44.587,93.546
507,39.959,96.64
508,35.481,98.766
509,31.364,99.937
510,27.467,99.99
511,23.758,100
512,20.421,98.887
513,17.465,96.955
514,14.688,94.058
515,12.285,90.595
516,10.147,87.109
517,8.382,83.448
518,6.861,79.344
519,5.534,75.085
520,4.537,71.486
521,3.622,68.02
522,3.069,65.041
523,2.567,62.077
524,2.117,59.664
525,1.78,56.984
526,1.573,54.7
527,1.38,52.754
528,1.224,50.844
529,1.09,49.001
530,0.926,47.326
531,0.829,46.355
532,0.733,45.044
533,0.638,43.927
534,0.589,42.959
535,0.512,42.21
536,0.544,41.048
537,0.515,40.141
538,0.483,39.42
539,0.469,38.667
540,0.44,38.098
541,0.504,36.926
542,0.563,36.208
543,0.532,35.828
544,0.544,34.758
545,0.532,33.932
546,0.456,32.951
547,0.576,32.225
548,0.571,31.201
549,0.613,30.151
550,0.589,29.079
551,0.503,27.957
552,0.487,26.74
553,0.431,25.642
554,0.439,24.505
555,0.424,23.444
556,0.437,22.429
557,0.397,21.558
558,0.46,20.678
559,0.362,19.569
560,0.537,18.645
561,0.433,18.063
562,0.357,17.06
563,0.381,16.172
564,0.356,15.475
565,0.441,14.852
566,0.497,14.064
567,0.409,13.467
568,0.371,12.834
569,0.341,12.238
570,0.422,11.731
571,0.411,11.427
572,0.465,10.802
573,0.404,10.411
574,0.413,9.689
575,0.454,9.589
576,0.474,9.198
577,0.526,8.825
578,0.427,8.427
579,0.464,8.13
580,0.379,7.865
581,0.424,7.588
582,0.413,7.367
583,0.375,7.123
584,0.452,6.866
585,0.438,6.526
586,0.414,6.447
587,0.405,6.328
588,0.484,5.942
589,0.417,5.911
590,0.433,5.578
591,0.415,5.442
592,0.378,5.295
593,0.403,5.011
594,0.473,4.918
595,0.436,4.721
596,0.321,4.609
597,0.338,4.411
598,0.343,4.166
599,0.366,4.073
600,0.357,3.884
601,0.27,3.699
602,0.31,3.612
603,0.298,3.556
604,0.328,3.36
605,0.31,3.243
606,0.402,3.247
607,0.394,2.962
608,0.434,2.859
609,0.379,2.793
610,0.472,2.712
611,0.335,2.557
612,0.42,2.52
613,0.377,2.416
614,0.447,2.219
615,0.413,2.202
616,0.376,2.231
617,0.379,2.083
618,0.406,1.986
619,0.499,1.898
620,0.407,1.786
621,0.438,1.784
622,0.269,1.695
623,0.408,1.725
624,0.284,1.554
625,0.32,1.534
